Season,Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points
2022,1,Manchester City FC,38,28,5,5,94,33,61,89
2022,2,Arsenal FC,38,26,6,6,88,43,45,84
2022,3,Manchester United FC,38,23,6,9,58,43,15,75
2022,4,Newcastle United FC,38,19,14,5,68,33,35,71
2022,5,Liverpool FC,38,19,10,9,75,47,28,67
2022,6,Brighton & Hove Albion FC,38,18,8,12,72,53,19,62
2022,7,Aston Villa FC,38,18,7,13,51,46,5,61
2022,8,Tottenham Hotspur FC,38,18,6,14,70,63,7,60
2022,9,Brentford FC,38,15,14,9,58,46,12,59
2022,10,Fulham FC,38,15,7,16,55,53,2,52
2022,11,Crystal Palace FC,38,11,12,15,40,49,-9,45
2022,12,Chelsea FC,38,11,11,16,38,47,-9,44
2022,13,Wolverhampton Wanderers FC,38,11,8,19,31,58,-27,41
2022,14,West Ham United FC,38,11,7,20,42,55,-13,40
2022,15,AFC Bournemouth,38,11,6,21,37,71,-34,39
2022,16,Nottingham Forest FC,38,9,11,18,38,68,-30,38
2022,17,Everton FC,38,8,12,18,34,57,-23,36
2022,18,Leicester City FC,38,9,7,22,51,68,-17,34
2022,19,Leeds United FC,38,7,10,21,48,78,-30,31
2022,20,Southampton FC,38,6,7,25,36,73,-37,25
2023,1,Manchester City FC,38,28,7,3,96,34,62,91
2023,2,Arsenal FC,38,28,5,5,91,29,62,89
2023,3,Liverpool FC,38,24,10,4,86,41,45,82
2023,4,Aston Villa FC,38,20,8,10,76,61,15,68
2023,5,Tottenham Hotspur FC,38,20,6,12,74,61,13,66
2023,6,Chelsea FC,38,18,9,11,77,63,14,63
2023,7,Newcastle United FC,38,18,6,14,85,62,23,60
2023,8,Manchester United FC,38,18,6,14,57,58,-1,60
2023,9,West Ham United FC,38,14,10,14,60,74,-14,52
2023,10,Crystal Palace FC,38,13,10,15,57,58,-1,49
2023,11,Brighton & Hove Albion FC,38,12,12,14,55,62,-7,48
2023,12,Everton FC,38,13,9,16,40,51,-11,48
2023,13,AFC Bournemouth,38,13,9,16,54,67,-13,48
2023,14,Fulham FC,38,13,8,17,55,61,-6,47
2023,15,Wolverhampton Wanderers FC,38,13,7,18,50,65,-15,46
2023,16,Brentford FC,38,10,9,19,56,65,-9,39
2023,17,Nottingham Forest FC,38,9,9,20,49,67,-18,36
2023,18,Luton Town FC,38,6,8,24,52,85,-33,26
2023,19,Burnley FC,38,5,9,24,41,78,-37,24
2023,20,Sheffield United FC,38,3,7,28,35,104,-69,16
