team.name,won,draw,lost,goalsFor,goalsAgainst,Year
Manchester City FC,28,5,5,94,33,2022
Arsenal FC,26,6,6,88,43,2022
Manchester United FC,23,6,9,58,43,2022
Newcastle United FC,19,14,5,68,33,2022
Liverpool FC,19,10,9,75,47,2022
Brighton & Hove Albion FC,18,8,12,72,53,2022
Aston Villa FC,18,7,13,51,46,2022
Tottenham Hotspur FC,18,6,14,70,63,2022
Brentford FC,15,14,9,58,46,2022
Fulham FC,15,7,16,55,53,2022
Crystal Palace FC,11,12,15,40,49,2022
Chelsea FC,11,11,16,38,47,2022
Wolverhampton Wanderers FC,11,8,19,31,58,2022
West Ham United FC,11,7,20,42,55,2022
AFC Bournemouth,11,6,21,37,71,2022
Nottingham Forest FC,9,11,18,38,68,2022
Everton FC,8,12,18,34,57,2022
Leicester City FC,9,7,22,51,68,2022
Leeds United FC,7,10,21,48,78,2022
Southampton FC,6,7,25,36,73,2022
Manchester City FC,28,7,3,96,34,2023
Arsenal FC,28,5,5,91,29,2023
Liverpool FC,24,10,4,86,41,2023
Aston Villa FC,20,8,10,76,61,2023
Tottenham Hotspur FC,20,6,12,74,61,2023
Chelsea FC,18,9,11,77,63,2023
Newcastle United FC,18,6,14,85,62,2023
Manchester United FC,18,6,14,57,58,2023
West Ham United FC,14,10,14,60,74,2023
Crystal Palace FC,13,10,15,57,58,2023
Brighton & Hove Albion FC,12,12,14,55,62,2023
Everton FC,13,9,16,40,51,2023
AFC Bournemouth,13,9,16,54,67,2023
Fulham FC,13,8,17,55,61,2023
Wolverhampton Wanderers FC,13,7,18,50,65,2023
Brentford FC,10,9,19,56,65,2023
Nottingham Forest FC,9,9,20,49,67,2023
Luton Town FC,6,8,24,52,85,2023
Burnley FC,5,9,24,41,78,2023
Sheffield United FC,3,7,28,35,104,2023
Manchester City FC,4,1,0,13,5,2024
Liverpool FC,4,0,1,10,1,2024
Aston Villa FC,4,0,1,10,7,2024
Arsenal FC,3,2,0,8,3,2024
Chelsea FC,3,1,1,11,5,2024
Newcastle United FC,3,1,1,7,6,2024
Brighton & Hove Albion FC,2,3,0,8,4,2024
Nottingham Forest FC,2,3,0,6,4,2024
Fulham FC,2,2,1,7,5,2024
Tottenham Hotspur FC,2,1,2,9,5,2024
Manchester United FC,2,1,2,5,5,2024
Brentford FC,2,0,3,7,9,2024
AFC Bournemouth,1,2,2,5,8,2024
West Ham United FC,1,1,3,5,9,2024
Leicester City FC,0,3,2,6,8,2024
Crystal Palace FC,0,3,2,4,7,2024
Ipswich Town FC,0,3,2,3,8,2024
Southampton FC,0,1,4,2,9,2024
Wolverhampton Wanderers FC,0,1,4,5,14,2024
Everton FC,0,1,4,5,14,2024
