season,team,played,won,drawn,lost,goals for,goals against
2023,AFC Bournemouth,38,13,0,16,54,67
2023,Arsenal FC,38,28,0,5,91,29
2023,Aston Villa FC,38,20,0,10,76,61
2023,Brentford FC,38,10,0,19,56,65
2023,Brighton & Hove Albion FC,38,12,0,14,55,62
2023,Burnley FC,38,5,0,24,41,78
2023,Chelsea FC,38,18,0,11,77,63
2023,Crystal Palace FC,38,13,0,15,57,58
2023,Everton FC,38,13,0,16,40,51
2023,Fulham FC,38,13,0,17,55,61
2023,Liverpool FC,38,24,0,4,86,41
2023,Luton Town FC,38,6,0,24,52,85
2023,Manchester City FC,38,28,0,3,96,34
2023,Manchester United FC,38,18,0,14,57,58
2023,Newcastle United FC,38,18,0,14,85,62
2023,Nottingham Forest FC,38,9,0,20,49,67
2023,Sheffield United FC,38,3,0,28,35,104
2023,Tottenham Hotspur FC,38,20,0,12,74,61
2023,West Ham United FC,38,14,0,14,60,74
2023,Wolverhampton Wanderers FC,38,13,0,18,50,65
2024,AFC Bournemouth,35,14,0,10,55,42
2024,Arsenal FC,35,18,0,4,64,31
2024,Aston Villa FC,35,17,0,9,55,49
2024,Brentford FC,35,15,0,13,62,53
2024,Brighton & Hove Albion FC,35,13,0,9,57,56
2024,Chelsea FC,35,18,0,8,62,41
2024,Crystal Palace FC,35,11,0,11,44,48
2024,Everton FC,35,8,0,12,36,43
2024,Fulham FC,35,14,0,12,50,47
2024,Ipswich Town FC,35,4,0,21,35,76
2024,Leicester City FC,35,5,0,24,29,77
2024,Liverpool FC,35,25,0,3,81,35
2024,Manchester City FC,35,19,0,9,67,43
2024,Manchester United FC,35,10,0,16,42,51
2024,Newcastle United FC,35,19,0,10,66,45
2024,Nottingham Forest FC,35,18,0,10,54,42
2024,Southampton FC,35,2,0,28,26,82
2024,Tottenham Hotspur FC,35,11,0,19,63,57
2024,West Ham United FC,35,9,0,16,40,59
2024,Wolverhampton Wanderers FC,35,12,0,18,51,62
