,won,drawn,lost,goals for,goals against
Burnley FC,5,9,24,41,78
Manchester City FC,28,7,3,96,34
Arsenal FC,28,5,5,91,29
Nottingham Forest FC,9,9,20,49,67
AFC Bournemouth,13,9,16,54,67
West Ham United FC,14,10,14,60,74
Brighton & Hove Albion FC,12,12,14,55,62
Luton Town FC,6,8,24,52,85
Everton FC,13,9,16,40,51
Fulham FC,13,8,17,55,61
Sheffield United FC,3,7,28,35,104
Crystal Palace FC,13,10,15,57,58
Newcastle United FC,18,6,14,85,62
Aston Villa FC,20,8,10,76,61
Brentford FC,10,9,19,56,65
Tottenham Hotspur FC,20,6,12,74,61
Chelsea FC,18,9,11,77,63
Liverpool FC,24,10,4,86,41
Manchester United FC,18,6,14,57,58
Wolverhampton Wanderers FC,13,7,18,50,65
